ID,Adikaram,Agapporul,Athigaram,Thurai,Thuraivilakkam,Kolu,Thelivurai,Moolam1,Moolam2,Moolam3,Moolam4,Patham1,Patham2,Patham3,Patham4
1,1,களவு,இயற்கைப் புணர்ச்சி,காட்சி,"காட்சி என்பது தலைமகளைத் தலைமகன் கண்ணுற்று, இஃதொரு வியப்பென்றல்.",",அகப்பொருள்"",""",",C2)",திருவளர் தாமரை சீர்வளர் காவிகள் ஈசர்தில்லைக்,குருவளர் பூங்குமிழ் கோங்குபைங் காந்தள்கொண்டு ஓங்குதெய்வ,மருவளர் மாலையர் வல்லியின் ஒல்கி அனநடை வாய்ந்து,உருவளர் காமன்தன் வென்றிக் கொடிபோன்று ஒளிர்கின்றதே. .. 1,திருவளர் தாமரை சீர்வளர் காவிகள் ஈசர்தில்லைக்,குருவளர் பூங்குமிழ் கோங்குபைங் காந்தள்கொண்டு ஓங்குதெய்வ,மருவளர் மாலையர் வல்லியின் ஒல்கி அனநடை வாய்ந்து,உருவளர் காமன்தன் வென்றிக் கொடிபோன்று ஒளிர்கின்றதே. .. 1
2,1,களவு,இயற்கைப் புணர்ச்சி,ஐயம்,ஐயம் என்பது கண்ணுற்ற பின்னர் இங்ஙனம் தோன்றா நின்ற இம்மாது திருமகள் முதலாகிய தெய்வமோ அன்றி மக்கள் உள்ளாள்கொல்லோ என்று ஐயுறா நிற்றல்.,தெரியஅரியதோர் தெய்வமன்னஅருவரைநாடன் ஐயுற்றது.," பூமியிலுள்ள இளைஞரை எல்லாம் கொல்ல வேண்டிக் காலன் வரவிட்ட தூதோ ? வசித்தற்கு அரியாரை வசிக்க அனங்கற்கு உண்டாயிற்றோர் துணையோ? தன்னை நிகரில்லாத திருஅம்பலவாணனுடைய சிதம்பரத்தில் வாழும் மாதரோ? மடப்பத்தையுடைய மயிலோ? என்று யாம் சொல்லும்படி நின்ற இவர் வாழும் இடம், தாமரைப் பூவோ, ஆகாயமோ, நீரோ, பாம்புகளின் பதியாகிய நாகர் உலகமோ இன்ன இடம் என்று அறிதற்குச் சிறிதும் அறியாதிருந்தது.",போதா விசும்போ புனலோ பணிக ளதுபதியோ,யாதோ அறிகுவ(து) ஏதும் அரிதி யமன்விடுத்த,தூதோ அனங்கன் துணையோ இணையிலி தொல்லைத்தில்லை,மாதோ மடமயி லோஎன நின்றவர் வாழ்பதியே. .. 2 ,போதா விசும்போ புனலோ பணிக ளதுபதியோ,யாதோ அறிகுவ(து) ஏதும் அரிதி யமன்விடுத்த,தூதோ அனங்கன் துணையோ இணையிலி தொல்லைத்தில்லை,மாதோ மடமயி லோஎன நின்றவர் வாழ்பதியே. .. 2 
3,1,களவு,இயற்கைப் புணர்ச்சி,தெளிதல்,தெளிதல் என்பது ஐயுற்ற பின்னர் அவயவம் இயங்கக் கண்டு இவள் தெய்வம் அல்லள் என்று தெளியாநிற்றல்.,அணங்கல்லள்என்(று) அயில்வேலவன்குணங்களை நோக்கிக் குறித்துரைத்தது.," பாய்ந்து செல்லுங்கின்ற இடபத்தையுடைய சிவனின் சிதம்பரத்தை நிகரானவள் வேல்போலும் கண் இமையா நின்றது. பாதங்களும் பூமியில் பொருந்தா நின்றது. பாதங்களும் பூமியில் பொருந்தா நின்றன. செவ்விப் புட்பங்களும் வாடா நின்றன. வருத்தமுற்று ஆராய்கின்ற மனமே ! தெய்வம் அலலள்காண். அழகிய பார தனங்களைச் சுமந்து தேயா நின்ற இடையினையும் பெருத்து வளர்ந்த வேயினை நிகர்த்த தோளினையும் உடைய இந்தச் சிறு நெற்றியினை உடையவள், தெய்வம் அல்லள்காண்.",பாயும் விடையரன் தில்லையன் னாள்படைக் கண்ணிமைக்கும்,தோயும் நிலத்தடி தூமலர் வாடும் துயரமெய்தி,ஆயும் மனனே அணங்கல்லள் அம்மா முலைசுமந்து,தேயும் மருங்குல் பெரும்பணைத் தோளிச் சிறுநுதலே. .. 3,பாயும் விடையரன் தில்லையன் னாள்படைக் கண்ணிமைக்கும்,தோயும் நிலத்தடி தூமலர் வாடும் துயரமெய்தி,ஆயும் மனனே அணங்கல்லள் அம்மா முலைசுமந்து,தேயும் மருங்குல் பெரும்பணைத் தோளிச் சிறுநுதலே. .. 3
4,1,களவு,இயற்கைப் புணர்ச்சி,நயப்பு,நயப்பு என்பது தெய்வம் அல்லள் என்று தெளிந்த பின்னர் மக்களுள்ளாளென்று நயந்து இடை இல்லைகொல் என்ற நெஞ்சிற்கு அல்குலும் முலையும் காட்டி இடையுண்டென்று சென்றெய்த நினையா நிற்றல்.,வண்டமர் புரிகுழல் ஒண்டொடி மடந்தையைநயந்த அண்ணல் வியந்துள் ளியது.," அகலா நின்ற அல்குலின் பெருமை இருந்த படி அது. தனங்களும் அங்ஙனே கதித்திருந்தன. நெஞ்சமே ! ஒரு காரணமும் இன்றியே நீ சொல்லுகின்ற தென்னை? தன்னைச் சேராத அசுரர்களுடைய திரிபுரங்களினுடைய மாறுபாடு கெட, வில்லாலே அழித்தவன் திரு அம்பலத்தில் உள்ளவனாகிய பரமேசுவரன் (எம்முடைய இறைவன்) (மாறுபட்ட சூரியனுடைய) வலியழியப் பல்லைத் தகர்த்தோன். அவனுடைய திருப்பழனம் என்ற திருப்படை வீட்டையொத்த பல வளைகளை உடையாளுக்கு இடை உண்டோ ?",அகல்கின்ற அல்குல் தடமது கொங்கை அவைஅலம்நீ,புகல்கின்ற(து) என்னைநெஞ்(சு) உண்டே இடைஅடை யார்புரங்கள்,இகல்குன்ற வில்லில்செற் றோன்தில்லை ஈசன்எம் மான்எதிர்த்த,பகல்குன்றப் பல்உகுத் தோன்பழ னம்அன்ன பல்வளைக்கே. .. 4 ,அகல்கின்ற அல்குல் தடமது கொங்கை அவைஅலம்நீ,புகல்கின்ற(து) என்னைநெஞ்(சு) உண்டே இடைஅடை யார்புரங்கள்,இகல்குன்ற வில்லில்செற் றோன்தில்லை ஈசன்எம் மான்எதிர்த்த,பகல்குன்றப் பல்உகுத் தோன்பழ னம்அன்ன பல்வளைக்கே. .. 4 
5,1,களவு,இயற்கைப் புணர்ச்சி,உட்கோள்,உட்கோள் என்பது மக்களுள்ளாளென்று நயந்து சென்றெய்த நினையா நின்றவன் தன்னிடத்து அவளுக்கு உண்டாகிய காதல் அவள் கண்ணிற்கண்டு தன்னுட் கொள்ளா நிற்றல்.,இறைதிருக் கரத்து மறிமான் நோக்கிஉள்ளக் கருத்து வள்ளல் அறிந்தது.," தேவர்களாலும் அறியப்படாத வேதிய வடிவன் பாதங்களை வாழ்த்த மாட்டாதவரைப் போல, பார்க்கப் பார்க்க நோயுமாய் நோய்க்கு மருந்தும் ஆகா நின்றன. மின்னையும் அரவின் படத்தையும் நிகர்த்த இடையினை உடையவளாய்ப் பெரிய தோளினை உடையாள் வேல்போலும் கண்கள்.",அணியும் அமிழ்தும்என் ஆவியம் ஆயவன் தில்லைச்சிந்தா,மணிஉம்ப ரார்அறி யாமறை யோன்அடி வாழ்த்தலரின்,பிணியும் அதற்கு மருந்தும் பிறழப் பிறழமின்னும்,பணியும் புரைமருங் குல்பெருந் தோளி படைக்கண்களே. .. 5,அணியும் அமிழ்தும்என் ஆவியம் ஆயவன் தில்லைச்சிந்தா,மணிஉம்ப ரார்அறி யாமறை யோன்அடி வாழ்த்தலரின்,பிணியும் அதற்கு மருந்தும் பிறழப் பிறழமின்னும்,பணியும் புரைமருங் குல்பெருந் தோளி படைக்கண்களே. .. 5
6,1,களவு,இயற்கைப் புணர்ச்சி,தெய்வத்தை மகிழ்தல்,,அன்ன மென்னடை அரிவையைத் தந்தமன்னிருந் தெய்வத்தை மகிழ்ந்து ரைத்தது.," சங்கு செறிந்த கீழைச் சமுத்திரத்தினின்று கழியைப் போக்கிட மேலைக்கடலில் போகட்ட பெரிய நுகத்தின் துளையிடத்தில், அத்துளை கோத்த கழி சென்று கோப்புண்டாற்போலப் பெரும்பற்றப் புலியூர்க்குப் பழையவனாகிய முதலியாருடைய ஸ்ரீகயிலாயத் திருமலையின் ஆயக் கூட்டத்தாரிடத்து நின்றும் பிரித்துக் கெண்டை போலும் நயந்த கண்ணினை உடையாளை நான் கண்டு கூடுவதாகக் கூட்டின இப்படிக்கு விளைந்த விளைவையல்லது கொண்டாடுவதில்லை. வேறு தெய்வங்களையும் விரும்புவதில்லை.",வளைபயில் கீழ்கடல் நின்றிட மேல்கடல் வான்நுகத்தின்,துளைவழி நேர்கழி கோத்தெனத் தில்லைத்தொல் லோன்கயிலைக்,கிளைவயின் நீக்கிஇக் கொண்டைஅங் கண்ணியைக் கொண்டுதந்த,விளைவயல் வால்விய வேன்நய வேன்தெய்வம் மிக்கனவே. .. 6,வளைபயில் கீழ்கடல் நின்றிட மேல்கடல் வான்நுகத்தின்,துளைவழி நேர்கழி கோத்தெனத் தில்லைத்தொல் லோன்கயிலைக்,கிளைவயின் நீக்கிஇக் கொண்டைஅங் கண்ணியைக் கொண்டுதந்த,விளைவயல் வால்விய வேன்நய வேன்தெய்வம் மிக்கனவே. .. 6
7,1,களவு,இயற்கைப் புணர்ச்சி,புணர்ச்சி துணிதல்,,கொவ்வைச் செவ்வாய்க் கொடியிடைப் பேதையைத்தெய்வப் புணர்ச்சி செம்மல் துணிந்தது.," புவி ஏழுக்கும் உடையவன்; எட்டுத் திக்கையும் திருக்கரங்களாக உடையவன்; நான் தனக்கு அடிமை செய்வதற்கு முன்விதியுடையவன்; சிதம்பரத்தை ஒத்த பொன் போன்றவளை இந்த உயர்ந்த மலையிடத்துச் சுற்றிப் பிரியாத ஆயக் கூட்டத்தாரிடத்தினின்றும் நீக்கின விதியே, துணையாகிய நெஞ்சமே, கந்தருவ மணம் கைகூட ஒரு பெண்ணாக வந்து என் கைக்குள் சிக்கிக் கொண்டது.",ஏழுடை யான்பொழில் எட்டுடை யான்புயம் என்னைமுன்ஆள்,ஊழுடை யான்புலி யூர்அன்ன பொன்இவ் உயிர்பொழில் ஆகச்,சூழுடை ஆயத்தை நீக்கும் விதிதுணை யாமனனே,யாழுடை யார்மணம் காண்அணங்(கு) ஆய்வந்(து) அகப்பட்டதே. .. 7,ஏழுடை யான்பொழில் எட்டுடை யான்புயம் என்னைமுன்ஆள்,ஊழுடை யான்புலி யூர்அன்ன பொன்இவ் உயிர்பொழில் ஆகச்,சூழுடை ஆயத்தை நீக்கும் விதிதுணை யாமனனே,யாழுடை யார்மணம் காண்அணங்(கு) ஆய்வந்(து) அகப்பட்டதே. .. 7
8,1,களவு,இயற்கைப் புணர்ச்சி,கல்வியுரைத்தல்,,கொலைவேலவன் கொடியிடையொடுகலவியின்பம் கட்டுரைத்தது.," சொல்லு பகுதியில் அமுது இவள், யான் அதன் சுவையென்று சொல்லும்படி அறுதியிட்ட படியே நல்ல கூறுபாட்டையுடைய விதியாகிய தெய்வம் தந்தின்று (தந்தது). நான் என்றும் இவள் என்றும் வேறுபட்ட இவ்வழகை யாராலே அறியப்படும்? பெரும்பற்றப்புலியூரிலே உளனாகிய தூயவன் அவனுடைய பொதிய மாமலையில் கல்பாய்ந்தகன்ற மலையிடத்துக் காவலை நீங்கின களவகத்தே.",சொற்பால் அழுதிவள் யான்சுவை என்னத் துணிந்திங்ஙனே,நற்பால் வினைத்தெய்வம் தந்தின்று நானிவ ளாம்பகுதிப்,பொற்பார் அறிவார் புலியூர்ப் புனிதன் பொதியில்வெற்பில்,கற்பா வியவரை வாய்க்கடி(து) ஓட்ட களவகத்தே. .. 8,சொற்பால் அழுதிவள் யான்சுவை என்னத் துணிந்திங்ஙனே,நற்பால் வினைத்தெய்வம் தந்தின்று நானிவ ளாம்பகுதிப்,பொற்பார் அறிவார் புலியூர்ப் புனிதன் பொதியில்வெற்பில்,கற்பா வியவரை வாய்க்கடி(து) ஓட்ட களவகத்தே. .. 8
9,1,களவு,இயற்கைப் புணர்ச்சி,இருவயின் ஒத்தல்,,ஆராஇன்பத்து அன்புமீதூரவாரார்முலையை மகிழ்ந்துரைத்தது., தன்னை உணர்ந்தவர்களுக்கு உணர்வானவன். அத்தன்மை உணராதார்க்கு அரியவன். பெரும் பற்றப் புலியூரில் திருச்சிற்றம்பலத்தே உளனாகிய ஒப்பில்லாதவன். அவனுக்குக் குணமாகிய சிவானந்த மகிமை வெளிப்பட்டாற்போல வெளிப்பட்ட கொவ்வைக் கனிபோல் சிவந்த வாயினை உடைய வஞ்சிக்கொடி போன்ற இடையினையுடைய இவளுடைய தோள்கள் கூடினால் கூடுந்தோறும் பெரிய போகமானது பின்னும் ஒரு காலைக்கு ஒருகால் புதிதாய் மணம் செறிந்த அளகத்தினை உடையவள் அல்குலினது பெருமைக்கு உவமை இல்லாதது போல இவ் இன்பத்திற்கு உவமையில்லாமல் பெருகாநின்றது. இதென்ன வியப்போ ?,உணர்ந்தார்க்(கு) உணர்வரி யோன்தில்லைச் சிற்றம் பலத்தொருத்தன்,குணந்தான் வெளிப்பட்ட கொவ்வைச்செவ் வாயிக் கொடியிடைதோள்,புணர்ந்தால் புணரும் தொறும்பெரும் போகம்பின் னும்புதிதாய்,மணந்தாழ் புரிகுழ லாள் அல்குல் போல வளர்கின்றதே. . . 9,உணர்ந்தார்க்(கு) உணர்வரி யோன்தில்லைச் சிற்றம் பலத்தொருத்தன்,குணந்தான் வெளிப்பட்ட கொவ்வைச்செவ் வாயிக் கொடியிடைதோள்,புணர்ந்தால் புணரும் தொறும்பெரும் போகம்பின் னும்புதிதாய்,மணந்தாழ் புரிகுழ லாள் அல்குல் போல வளர்கின்றதே. . . 9
10,1,களவு,இயற்கைப் புணர்ச்சி,கிளவி வேட்டல்,,அன்னம்அன்னவள் அவயவம் கண்டுமென்மொழி கேட்க விருப்புற்றது.," தன்னுடைய திருவெல்லை யாவராலும் அறிதற்கு அரியவன் திருஅம்பலத்தை ஒத்த வளப்பத்தை உட்கொண்டிருந்தன, கனதனங்களும் பெரிய கண்கள் வாள் போன்றிருந்தன. நெற்றியும் பாதி மதியின் இயல்பாய் இருந்தது. இடையும் மின் போன்று இருந்தது. பெரிய தோள்களும் வேய் தாமாகி இருந்தன. அவயவங்களின் இயல்புகள் இவையானால், அவர் வார்த்தையும் இவற்றிற்குத் தக்கன அல்லவோ?",அளவியை யார்க்கும் அறி(வு )அரி யோன்தில்லை அம்பலம்போல்,வளவிய வான்கொங்கை வாள்தடங் கண்நுதல் மாமதியின்,பிள(வு)இயல் மின்இடை பேரமை தோளிது பெற்றியென்றால்,கிளவியை யென்றோ இனிக்கிள்ளை யார்வாயிற் கேட்கின்றதே. .. 10,அளவியை யார்க்கும் அறி(வு )அரி யோன்தில்லை அம்பலம்போல்,வளவிய வான்கொங்கை வாள்தடங் கண்நுதல் மாமதியின்,பிள(வு)இயல் மின்இடை பேரமை தோளிது பெற்றியென்றால்,கிளவியை யென்றோ இனிக்கிள்ளை யார்வாயிற் கேட்கின்றதே. .. 10
